client_id,target,col2,col5,col25,col29,col33,col37,col47,col65,col101,col121,col177,col197,col217,col229,col245,col261,col277,col317,col397,col437,col473,col493,col617,col633,col673,col693,col713,col733,col801,col809,col817,col825,col845,col865,col885,col905,col945,col965,col985,col1005,col1025,col1077,col1097,col1117,col1149,col1165,col1181,col1189,col1193,col1201,col1221,col1253,col1281,col1301,col1341,col1349,col1353,col1357,col1361,col1369,col1373,col1381,col1421,col1441,col1453,col1455,col1487,col1495,col1503,col1511,col1661,col1675,col1682,col1705,col1729,col1753,col1778,col1801,col1823,col1847,col1863,col1895,col1903,col1905,col1910,col1919,col1959,col1999,col2047,col2071,col2143,col2199,col2271,col2295,col2343,col2543,col2567,col2591,col2663
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6656046.7,15.0,179564.0,37.88,,,,0.2562613816564786
5,0,,,,,,,,,,,,,,,,,4.0,19.2,5407132.0,715.0,55.7483,37.6171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8193703.78,4.0,204857.0,38.75,5903704.0,362.0,7616803.0,0.2562613816564786
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6652297.58,16.0,190542.0,36.75,,,,0.2562613816564786
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,2.0,,,,,8.0,232846.0,,35.56,1.4,10000.0,8.0,232846.0,35.56,,,,0.2586817645046357
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,2.0,,,,,,55.0,,,,,,,,,,,,,,,,,,3.0,9303610.11,24.0,172907.0,2.0,,,,0.2541642972029413
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4.0,4.0,,4.0,,,,,4.0,397379.0,,26.6,3.0,12389002.23,4.0,397379.0,26.6,10850000.0,362.0,10850000.0,0.3189938134633118
16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,181055.06,-1.0,88847.0,2.51,,,,0.2588532073038523
17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5500000.0,,,,,,,,,,,,,4.0,4762627.2,2.0,79600.0,3.0,,,,0.2562613816564786
18,0,,,,,,,,,60.0,,,,,0.25,0.1666666666666666,0.3333333333333333,4.0,67.3,28286324.0,12090.0,55.7483,37.6171,,,,,,,,,,,,,,,,,,,,26.6,5742612.0,-2.0,0.0017921146953405,2.0,6.1,5.8666666348775225,6.1,900427.0,-2.0,0.0476190476190476,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,210660.0,4.0,4.5,3.0,797274.5,22.0,210660.0,4.0,,,,0.2662850701762395
19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8093020.24,22.0,138777.0,2.0,,,,0.2562613816564786
21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6014369.67,,121858.0,2.0,4818792.0,240.0,4818792.0,0.2562613816564786
